shipment_id,shipment_volume,distance_km,transport_cost,warehouse_load_pct,weather_risk,traffic_index,shipping_mode,delivery_days,on_time
SHP0001,62,891.71,1457.88,61.75,3,24.97,First Class,4.57,1
SHP0002,391,597.1,8434.73,86.59,3,56.66,First Class,3.83,1
SHP0003,334,264.42,4025.45,40.51,2,30.32,First Class,2.05,1
SHP0004,230,190.61,3542.38,71.11,1,32.19,Standard,4.08,1
SHP0005,227,1059.82,6607.72,87.13,2,70.58,First Class,5.21,0
SHP0006,432,311.21,5043.99,95.11,1,51.43,Standard,4.45,1
SHP0007,61,1665.59,8434.84,88.47,1,93.75,Standard,5.93,0
SHP0008,354,1048.0,7055.67,37.4,2,45.53,Standard,4.52,1
SHP0009,116,627.63,4392.42,59.23,2,78.09,Standard,4.69,1
SHP0010,65,1065.69,3480.78,38.17,2,56.89,Standard,4.48,1
SHP0011,272,45.93,8881.69,42.1,1,72.8,Same Day,1.64,1
SHP0012,488,1725.61,6502.18,78.89,1,67.98,Second Class,6.35,0
SHP0013,373,870.73,8568.07,81.36,0,57.82,Second Class,3.87,1
SHP0014,385,1410.01,1198.54,85.29,2,96.0,Standard,5.56,0
SHP0015,364,153.5,7677.22,91.25,2,47.42,Standard,4.56,1
SHP0016,397,878.55,5788.1,83.06,3,34.18,Standard,5.71,0
SHP0017,266,885.82,1229.01,87.06,2,74.25,First Class,5.78,0
SHP0018,81,1688.4,5356.08,38.18,1,87.68,Standard,5.44,0
SHP0019,423,1031.25,6221.95,50.24,0,23.22,Second Class,3.0,1
SHP0020,236,854.91,258.88,75.42,0,55.97,Second Class,4.89,1
SHP0021,260,484.22,4170.71,90.78,1,91.4,Standard,5.61,0
SHP0022,197,600.17,7454.79,35.29,1,79.97,Second Class,4.59,1
SHP0023,107,939.61,2763.93,68.45,1,99.34,Second Class,5.25,0
SHP0024,464,792.85,4208.15,79.02,1,62.51,Standard,5.32,0
SHP0025,395,43.79,4064.48,36.92,3,72.8,First Class,4.14,1
SHP0026,329,1488.19,2822.06,61.09,0,44.2,Second Class,3.72,1
SHP0027,213,1613.61,8278.21,93.22,1,95.8,First Class,5.74,0
SHP0028,414,256.75,7064.45,78.65,0,49.31,First Class,1.18,1
SHP0029,281,999.49,1128.71,50.45,1,79.08,Standard,5.69,0
SHP0030,232,199.89,8973.76,90.43,2,52.25,Standard,4.94,1
SHP0031,236,1211.67,7930.92,57.62,0,64.95,Second Class,3.87,1
SHP0032,129,509.81,2662.59,90.47,1,77.58,Second Class,4.39,1
SHP0033,64,1188.66,7556.53,54.43,0,60.71,Second Class,3.74,1
SHP0034,286,1309.96,1091.81,73.37,3,92.57,Standard,6.63,0
SHP0035,446,1384.72,8992.08,60.8,2,53.54,Standard,5.86,0
SHP0036,50,198.39,6041.31,52.86,0,71.77,Standard,3.13,1
SHP0037,431,1649.24,5903.61,92.63,0,47.39,Second Class,4.9,1
SHP0038,417,418.23,950.4,47.19,0,52.65,Second Class,2.29,1
SHP0039,152,72.16,8088.75,40.51,1,55.2,Second Class,3.64,1
SHP0040,323,1000.96,406.65,57.23,3,30.06,Standard,4.97,1
SHP0041,99,670.81,2281.33,81.65,2,27.34,Second Class,3.82,1
SHP0042,383,1494.47,1415.74,87.48,3,73.4,Standard,6.88,0
SHP0043,356,1455.81,7024.4,99.92,1,72.44,Standard,7.06,0
SHP0044,190,574.26,1904.11,54.26,1,73.03,Second Class,4.39,1
SHP0045,52,1715.45,8209.15,61.52,1,21.58,Second Class,4.53,1
SHP0046,485,527.2,5957.98,43.89,0,46.12,Second Class,3.35,1
SHP0047,233,929.53,470.04,72.37,3,35.82,First Class,2.87,1
SHP0048,448,464.46,198.05,99.84,0,82.25,First Class,3.01,1
SHP0049,345,1685.2,607.17,80.56,1,88.85,Standard,7.95,0
SHP0050,393,300.47,5512.44,73.69,2,39.73,Second Class,4.0,1
SHP0051,384,85.61,7243.11,60.5,0,73.43,First Class,2.23,1
SHP0052,113,786.0,2261.19,94.49,1,30.35,Standard,4.96,1
SHP0053,194,1786.31,7667.27,67.3,1,42.01,Standard,6.44,0
SHP0054,244,1605.56,656.5,43.73,1,31.09,Second Class,3.3,1
SHP0055,258,1348.75,7238.53,58.75,0,42.68,Standard,3.65,1
SHP0056,41,1603.97,8360.99,39.37,0,73.98,Standard,5.63,0
SHP0057,282,1608.74,6983.16,48.13,0,92.83,Standard,5.43,0
SHP0058,94,936.35,6328.37,36.15,1,36.2,Standard,5.39,0
SHP0059,376,572.09,7566.12,64.46,0,63.37,Same Day,1.41,1
SHP0060,347,1390.76,505.34,76.25,3,76.11,Standard,5.89,0
SHP0061,462,1192.68,1935.77,57.31,0,96.23,Second Class,3.98,1
SHP0062,377,675.72,1255.57,62.32,2,68.8,Standard,3.74,1
SHP0063,195,174.57,4615.1,97.35,2,40.41,Standard,4.47,1
SHP0064,484,1345.49,6744.91,83.88,1,70.04,Same Day,3.21,1
SHP0065,217,476.12,5725.6,70.16,3,45.64,Same Day,2.59,1
SHP0066,176,1686.58,7682.51,53.5,0,98.09,Standard,6.81,0
SHP0067,454,437.54,1523.63,93.3,0,51.97,Standard,4.8,1
SHP0068,197,225.35,6651.4,50.28,1,74.83,Same Day,1.76,1
SHP0069,56,1496.85,1858.42,56.15,0,21.86,Standard,3.14,1
SHP0070,245,280.15,2546.21,94.09,1,52.0,Standard,4.79,1
SHP0071,401,326.79,6432.66,69.42,1,90.01,Second Class,4.64,1
SHP0072,110,1080.89,8824.81,83.25,3,68.82,Second Class,6.19,0
SHP0073,242,1574.84,5562.16,73.4,1,55.52,Same Day,3.92,1
SHP0074,82,357.6,632.33,77.47,3,94.87,Standard,5.49,0
SHP0075,349,562.03,5604.33,54.46,3,88.32,Second Class,6.85,0
SHP0076,248,1400.44,524.8,50.69,3,45.78,Standard,5.84,0
SHP0077,178,1749.43,7974.69,55.96,0,63.56,Second Class,5.37,0
SHP0078,128,903.83,6429.77,45.1,3,59.19,Standard,4.97,1
SHP0079,290,263.3,1682.18,91.83,2,70.58,Second Class,3.93,1
SHP0080,341,30.02,961.73,53.41,3,46.73,First Class,4.23,1
SHP0081,471,417.23,1774.27,71.5,1,39.54,Standard,4.02,1
SHP0082,229,241.62,8823.24,86.48,3,93.01,Second Class,5.98,0
SHP0083,97,1221.4,4208.26,85.95,2,93.91,Standard,6.93,0
SHP0084,419,223.69,7089.12,63.5,0,87.47,Standard,4.16,1
SHP0085,322,913.86,5782.21,65.96,1,98.26,Standard,6.7,0
SHP0086,356,1251.2,5215.86,99.66,0,79.6,Standard,5.38,0
SHP0087,66,1048.1,1434.4,78.85,3,81.17,First Class,4.08,1
SHP0088,169,363.6,8522.32,87.95,1,81.01,Standard,4.45,1
SHP0089,388,1448.4,2816.88,93.67,0,58.45,Standard,5.71,0
SHP0090,419,1289.16,5265.45,86.19,2,56.52,Second Class,5.74,0
SHP0091,228,1331.48,6343.02,47.04,1,39.22,First Class,2.52,1
SHP0092,406,240.25,5895.71,71.54,0,71.59,Standard,3.54,1
SHP0093,424,227.14,8474.26,41.62,3,43.15,Second Class,3.87,1
SHP0094,205,1669.97,1463.69,77.44,3,40.62,Standard,6.61,0
SHP0095,451,718.65,4648.92,97.1,2,66.88,Standard,4.85,1
SHP0096,158,545.2,3725.7,68.33,2,52.8,Standard,4.71,1
SHP0097,134,882.01,4346.39,63.14,1,37.51,Second Class,3.49,1
SHP0098,347,1194.84,1205.08,37.33,2,85.28,Second Class,6.09,0
SHP0099,325,1720.34,1336.74,97.39,2,88.85,Second Class,7.17,0
SHP0100,87,519.17,2610.97,41.7,0,33.42,First Class,1.78,1
SHP0101,419,1665.03,2846.64,37.67,0,20.6,Standard,4.34,1
SHP0102,115,49.62,3936.94,50.99,1,46.89,Standard,3.85,1
SHP0103,406,1001.58,5557.24,39.26,1,83.8,Second Class,4.27,1
SHP0104,23,1142.99,5766.47,64.58,0,87.13,Second Class,3.88,1
SHP0105,402,195.09,3794.53,68.55,0,31.07,Standard,2.59,1
SHP0106,397,256.91,3767.73,55.32,3,81.95,Same Day,2.75,1
SHP0107,394,757.31,2076.01,38.31,1,29.26,Standard,3.46,1
SHP0108,339,1739.39,5356.51,42.25,2,51.21,Second Class,5.77,0
SHP0109,246,1074.9,2955.81,59.99,2,99.89,Standard,7.02,0
SHP0110,358,1679.78,469.13,38.93,2,35.41,First Class,3.36,1
SHP0111,153,1448.83,3852.84,80.38,2,32.32,Standard,5.92,0
SHP0112,394,843.95,4346.07,48.46,1,53.82,Second Class,3.98,1
SHP0113,286,1413.65,2146.5,54.63,3,69.57,Standard,7.15,0
SHP0114,240,37.02,5216.25,60.62,1,94.63,Same Day,2.05,1
SHP0115,262,200.91,5157.08,62.08,3,98.47,Second Class,4.39,1
SHP0116,292,1493.82,6362.72,35.11,1,25.57,Standard,4.19,1
SHP0117,37,1435.29,5884.34,42.28,0,31.04,First Class,2.95,1
SHP0118,87,422.59,5924.03,91.08,3,83.26,First Class,5.27,0
SHP0119,137,957.73,2948.5,35.08,0,41.65,First Class,1.07,1
SHP0120,74,1092.8,7118.78,68.03,3,90.79,Second Class,6.53,0
SHP0121,231,1562.59,5009.93,66.82,0,73.08,First Class,4.76,1
SHP0122,340,1087.58,3968.05,56.65,0,28.95,Standard,4.07,1
SHP0123,334,745.57,5690.21,63.04,2,86.6,Second Class,5.59,0
SHP0124,246,676.66,3341.82,85.74,3,34.11,Standard,5.13,0
SHP0125,430,769.46,4687.74,89.68,1,53.88,Standard,4.9,1
SHP0126,291,1175.22,6669.85,51.92,0,64.17,First Class,2.22,1
SHP0127,58,1562.15,7994.67,55.96,0,60.06,Standard,3.77,1
SHP0128,387,819.74,8301.36,50.76,3,74.89,Standard,6.9,0
SHP0129,295,449.87,4607.15,66.19,2,72.21,Standard,4.7,1
