shipment_id,shipment_volume,distance_km,transport_cost,warehouse_load_pct,weather_risk,traffic_index,shipping_mode,delivery_days
SHP0001,428.0,1646.45,8674.74,80.16,2.0,53.52,First Class,6.61
SHP0002,105.0,577.21,943.14,45.45,0.0,56.8,Standard,4.11
SHP0003,32.0,1056.67,1986.56,90.47,2.0,97.59,Second Class,6.24
SHP0004,327.0,433.55,6004.74,50.01,1.0,73.15,Standard,4.3
SHP0005,195.0,1204.02,3078.46,39.79,0.0,37.76,Standard,5.35
SHP0006,244.0,234.14,1287.96,40.52,3.0,74.66,Same Day,2.11
SHP0007,58.0,1422.71,8074.01,85.98,1.0,21.02,Standard,4.81
SHP0008,197.0,764.19,6623.57,89.62,2.0,79.56,First Class,4.35
SHP0009,328.0,334.67,2119.59,92.24,1.0,45.02,Standard,4.2
SHP0010,190.0,1366.06,992.61,84.04,1.0,74.36,Same Day,2.97
SHP0011,418.0,999.94,7605.35,93.11,2.0,96.43,First Class,5.56
SHP0012,399.0,791.47,5194.16,95.29,1.0,99.13,Standard,5.65
SHP0013,358.0,436.92,8376.77,69.92,2.0,64.4,Standard,3.8
SHP0014,454.0,1407.55,4727.06,76.1,2.0,25.59,Second Class,5.76
SHP0015,366.0,660.69,2193.27,96.97,2.0,24.94,First Class,4.45
SHP0016,105.0,82.35,1332.02,68.42,2.0,41.7,First Class,2.4
SHP0017,432.0,1737.84,3848.53,50.65,3.0,27.54,Second Class,6.72
SHP0018,333.0,59.68,6203.55,96.01,0.0,43.03,Second Class,2.38
SHP0019,67.0,221.24,188.06,38.29,0.0,90.85,Same Day,0.88
SHP0020,163.0,841.13,3648.86,72.92,1.0,44.6,Second Class,3.5
SHP0021,99.0,378.1,3723.88,95.41,2.0,46.35,Same Day,3.42
SHP0022,484.0,606.57,6088.45,83.38,3.0,86.48,Same Day,4.72
SHP0023,369.0,1023.78,1875.41,74.36,1.0,80.88,Standard,6.13
SHP0024,461.0,1724.33,7903.23,66.62,3.0,45.81, STANDARD ,6.29
SHP0025,155.0,1685.68,12108.12,52.72,0.0,60.19,Standard,5.94
SHP0026,325.0,137.64,7467.25,71.62,2.0,64.81,Standard,4.16
SHP0027,310.0,1536.7,7474.46,83.01,2.0,77.83,Second Class,6.55
SHP0028,381.0,306.24,7981.19,71.48,3.0,30.72,Standard,4.64
SHP0029,76.0,1461.52,2440.64,84.82,0.0,80.28,Standard,5.34
SHP0030,267.0,536.94,7582.81,97.86,2.0,27.77,Standard,4.49
SHP0031,329.0,1293.51,2189.99,76.56,2.0,66.97,Second Class,4.27
SHP0032,416.0,1295.23,3685.07,81.01,3.0,95.62,Standard,6.27
SHP0033,334.0,1531.74,1722.5,90.2,3.0,33.72,Standard,6.54
SHP0034,235.0,1763.43,4434.56,70.96,1.0,81.97,First Class,4.27
SHP0035,240.0,499.49,815.47,53.74,2.0,51.31,Standard,5.48
SHP0036,182.0,1132.81,8618.05,86.58,0.0,38.64,Second Class,4.64
SHP0037,95.0,1331.97,265.02,88.61,0.0,61.1,First Class,2.62
SHP0038,153.0,147.93,,98.69,0.0,35.24,Second Class,1.72
SHP0039,90.0,1195.02,7567.14,36.38,2.0,55.62,Standard,5.64
SHP0040,128.0,582.12,5291.04,67.96,2.0,66.88,Same Day,4.07
SHP0041,429.0,294.84,5434.35,38.98,3.0,81.66,Second Class,4.49
