shipment_id,shipment_volume,distance_km,transport_cost,warehouse_load_pct,weather_risk,traffic_index,delivery_days,shipping_mode_First Class,shipping_mode_Same Day,shipping_mode_Second Class,shipping_mode_Standard
SHP0001,428.0,1646.45,8674.74,80.16,2.0,53.52,6.61,1,0,0,0
SHP0002,105.0,577.21,943.14,45.45,0.0,56.8,4.11,0,0,0,1
SHP0003,32.0,1056.67,1986.56,90.47,2.0,97.59,6.24,0,0,1,0
SHP0004,327.0,433.55,6004.74,50.01,1.0,73.15,4.3,0,0,0,1
SHP0005,195.0,1204.02,3078.46,39.79,0.0,37.76,5.35,0,0,0,1
SHP0006,244.0,234.14,1287.96,40.52,3.0,74.66,2.11,0,1,0,0
SHP0007,58.0,1422.71,8074.01,85.98,1.0,21.02,4.81,0,0,0,1
SHP0008,197.0,764.19,6623.57,89.62,2.0,79.56,4.35,1,0,0,0
SHP0009,328.0,334.67,2119.59,92.24,1.0,45.02,4.2,0,0,0,1
SHP0010,190.0,1366.06,992.61,84.04,1.0,74.36,2.97,0,1,0,0
SHP0011,418.0,999.94,7605.35,93.11,2.0,96.43,5.56,1,0,0,0
SHP0012,399.0,791.47,5194.16,95.29,1.0,99.13,5.65,0,0,0,1
SHP0013,358.0,436.92,8376.77,69.92,2.0,64.4,3.8,0,0,0,1
SHP0014,454.0,1407.55,4727.06,76.1,2.0,25.59,5.76,0,0,1,0
SHP0015,366.0,660.69,2193.27,96.97,2.0,24.94,4.45,1,0,0,0
SHP0016,105.0,82.35,1332.02,68.42,2.0,41.7,2.4,1,0,0,0
SHP0017,432.0,1737.84,3848.53,50.65,3.0,27.54,6.72,0,0,1,0
SHP0018,333.0,59.68,6203.55,96.01,0.0,43.03,2.38,0,0,1,0
SHP0019,67.0,221.24,188.06,38.29,0.0,90.85,0.88,0,1,0,0
SHP0020,163.0,841.13,3648.86,72.92,1.0,44.6,3.5,0,0,1,0
SHP0021,99.0,378.1,3723.88,95.41,2.0,46.35,3.42,0,1,0,0
SHP0022,484.0,606.57,6088.45,83.38,3.0,86.48,4.72,0,1,0,0
SHP0023,369.0,1023.78,1875.41,74.36,1.0,80.88,6.13,0,0,0,1
SHP0024,461.0,1724.33,7903.23,66.62,3.0,45.81,6.29,0,0,0,1
SHP0025,155.0,1685.68,12108.12,52.72,0.0,60.19,5.94,0,0,0,1
SHP0026,325.0,137.64,7467.25,71.62,2.0,64.81,4.16,0,0,0,1
SHP0027,310.0,1536.7,7474.46,83.01,2.0,77.83,6.55,0,0,1,0
SHP0028,381.0,306.24,7981.19,71.48,3.0,30.72,4.64,0,0,0,1
SHP0029,76.0,1461.52,2440.64,84.82,0.0,80.28,5.34,0,0,0,1
SHP0030,267.0,536.94,7582.81,97.86,2.0,27.77,4.49,0,0,0,1
SHP0031,329.0,1293.51,2189.99,76.56,2.0,66.97,4.27,0,0,1,0
SHP0032,416.0,1295.23,3685.07,81.01,3.0,95.62,6.27,0,0,0,1
SHP0033,334.0,1531.74,1722.5,90.2,3.0,33.72,6.54,0,0,0,1
SHP0034,235.0,1763.43,4434.56,70.96,1.0,81.97,4.27,1,0,0,0
SHP0035,240.0,499.49,815.47,53.74,2.0,51.31,5.48,0,0,0,1
SHP0036,182.0,1132.81,8618.05,86.58,0.0,38.64,4.64,0,0,1,0
SHP0037,95.0,1331.97,265.02,88.61,0.0,61.1,2.62,1,0,0,0
SHP0038,153.0,147.93,5348.62,98.69,0.0,35.24,1.72,0,0,1,0
SHP0039,90.0,1195.02,7567.14,36.38,2.0,55.62,5.64,0,0,0,1
SHP0040,128.0,582.12,5291.04,67.96,2.0,66.88,4.07,0,1,0,0
SHP0041,429.0,294.84,5434.35,38.98,3.0,81.66,4.49,0,0,1,0
SHP0042,272.0,991.3,4850.08,67.26,0.0,85.12,4.75,0,0,1,0
SHP0043,63.0,834.08,6854.2,66.03,3.0,91.07,4.01,1,0,0,0
SHP0044,226.0,1040.86,6332.56,49.29,3.0,58.89,5.66,0,0,0,1
SHP0045,149.0,1157.24,7451.37,99.95,0.0,93.16,4.37,1,0,0,0
SHP0046,338.0,900.11,7170.56,83.28,0.0,91.69,5.06,0,0,0,1
SHP0047,418.0,1629.75,5308.31,60.1,3.0,59.1,7.34,0,0,0,1
SHP0048,26.0,324.36,3247.18,86.67,3.0,28.76,5.15,0,0,0,1
SHP0049,243.0,523.38,1100.74,51.04,3.0,49.17,3.85,1,0,0,0
SHP0050,234.0,644.42,1599.79,53.5,1.0,79.66,3.44,1,0,0,0
SHP0051,495.0,1395.02,7860.19,85.47,3.0,64.83,7.18,0,0,1,0
SHP0052,195.0,1175.52,2508.53,80.19,0.0,34.98,3.76,0,0,1,0
SHP0053,99.0,375.53,8062.17,86.01,3.0,88.89,6.06,0,0,1,0
SHP0054,113.0,1341.27,2858.86,60.31,1.0,71.67,5.62,0,0,0,1
SHP0055,249.0,1389.91,656.72,47.01,0.0,30.28,3.84,0,0,1,0
SHP0056,305.0,1387.58,2716.48,63.24,0.0,59.144999999999996,2.27,0,1,0,0
SHP0057,176.0,145.68,3554.16,83.14,2.0,61.17,1.89,1,0,0,0
SHP0058,228.0,385.79,1067.57,90.01,0.0,48.6,1.98,1,0,0,0
SHP0059,338.0,1612.22,3953.39,93.65,0.0,61.89,5.65,0,0,0,1
SHP0060,163.0,1583.58,7211.79,99.52,0.0,63.22,3.7,1,0,0,0
SHP0061,483.0,374.0,3812.31,55.36,1.0,98.24,3.83,1,0,0,0
SHP0062,120.0,994.72,4519.55,89.47,3.0,74.77,6.18,0,0,0,1
SHP0063,468.0,476.52,8989.14,99.9,2.0,41.89,2.49,1,0,0,0
SHP0064,439.0,752.23,2055.58,53.17,1.0,53.36,3.75,0,0,0,1
SHP0065,479.0,42.6,4963.64,35.33,2.0,28.95,2.68,1,0,0,0
SHP0066,402.0,510.76,8891.64,44.26,2.0,48.4,4.28,0,0,0,1
SHP0067,273.0,490.87,4537.16,85.55,0.0,84.59,3.9,0,0,1,0
SHP0068,311.0,1654.84,5384.06,87.25,0.0,52.34,1.9,0,1,0,0
SHP0069,119.0,1060.41,4988.35,51.88,0.0,59.144999999999996,4.51,0,0,0,1
SHP0070,185.0,323.64,5348.62,96.11,0.0,45.19,1.13,0,1,0,0
SHP0071,242.0,772.48,6487.8,50.37,2.0,69.84,6.25,0,0,0,1
SHP0072,474.0,889.82,8221.85,82.36,2.0,25.88,4.39,0,0,0,1
SHP0073,401.0,1149.06,8350.2,46.99,2.0,30.69,2.73,1,0,0,0
SHP0074,290.0,960.74,13454.638749999998,84.22,1.0,52.7,4.4,0,0,1,0
SHP0075,305.0,760.68,3269.72,38.3,2.0,93.34,5.98,0,0,0,1
SHP0076,227.0,562.87,6128.27,73.36,1.0,76.96,4.02,0,0,1,0
SHP0077,221.0,1037.12,8509.86,57.68,2.0,37.63,6.11,0,0,0,1
SHP0078,452.0,1756.62,8806.5,77.84,0.0,43.8,1.6,0,1,0,0
