shipment_id,shipment_volume,distance_km,transport_cost,warehouse_load_pct,weather_risk,traffic_index,shipping_mode,delivery_days,on_time
SHP0001,62,1327.39,6095.91,37.2,3,77.29,First Class,4.58,1
SHP0002,391,1596.09,8651.19,79.4,1,48.57,Standard,6.13,0
SHP0003,334,1658.3,3432.57,96.78,3,88.15,Standard,7.41,0
SHP0004,230,909.02,3911.97,88.89,2,39.28,First Class,2.76,1
SHP0005,227,938.89,7337.29,53.02,1,63.07,Same Day,2.34,1
SHP0006,432,1440.77,4626.0,38.47,0,34.73,Second Class,4.75,1
SHP0007,61,569.44,6668.67,96.12,2,59.62,Standard,5.73,0
SHP0008,354,1508.1,4218.43,95.91,2,32.2,Standard,7.38,0
SHP0009,116,891.98,2057.13,69.61,3,32.93,Standard,5.85,0
SHP0010,65,212.96,6745.05,76.75,2,68.98,Second Class,5.95,0
SHP0011,272,134.35,1310.72,65.07,0,41.1,First Class,1.81,1
SHP0012,488,1516.38,1907.47,62.28,2,33.79,Standard,5.92,0
SHP0013,373,104.74,5697.4,42.76,2,94.38,First Class,2.75,1
SHP0014,385,508.7,6763.34,41.29,1,23.44,Standard,4.55,1
SHP0015,364,604.76,8067.99,50.13,1,65.21,First Class,2.82,1
SHP0016,397,315.53,2562.39,89.38,3,63.86,Second Class,4.59,1
SHP0017,266,568.44,1129.91,44.48,2,40.05,Standard,5.6,0
SHP0018,81,1338.13,8611.01,49.74,2,56.22,Second Class,6.07,0
SHP0019,423,31.36,1516.64,70.66,1,27.02,Standard,4.23,1
SHP0020,236,1489.78,1899.35,48.98,1,77.7,Second Class,5.09,0
SHP0021,260,1542.5,2728.27,45.61,2,37.74,Standard,5.87,0
SHP0022,197,673.21,4835.11,71.62,3,35.47,Standard,5.49,0
SHP0023,107,280.74,7963.01,58.93,2,45.19,Standard,5.11,0
SHP0024,464,1083.51,6880.83,75.7,2,92.19,Standard,7.52,0
SHP0025,395,219.81,6417.19,94.29,0,83.72,Standard,4.58,1
SHP0026,329,660.03,1700.35,44.81,3,95.75,Standard,7.72,0
SHP0027,213,1725.38,3315.49,94.37,0,72.16,Second Class,5.82,0
SHP0028,414,1791.86,4383.88,93.66,3,73.03,Second Class,6.82,0
SHP0029,281,1390.93,1454.72,88.89,1,58.4,Standard,6.34,0
SHP0030,232,563.18,2569.85,76.03,3,92.41,Same Day,4.95,1
SHP0031,236,1239.36,2878.75,75.31,3,60.87,Same Day,5.38,0
SHP0032,129,1271.2,1276.39,76.55,3,48.4,Standard,7.28,0
SHP0033,64,701.18,5019.62,79.88,3,71.23,Same Day,3.67,1
SHP0034,286,1155.4,6389.5,36.07,2,63.69,Standard,5.71,0
SHP0035,446,24.26,768.89,97.28,3,29.92,Standard,5.18,0
SHP0036,50,380.26,4407.94,73.06,0,51.42,First Class,3.31,1
SHP0037,431,947.53,7072.57,85.8,0,45.07,Standard,4.75,1
SHP0038,417,298.93,6769.71,59.52,2,87.75,First Class,4.09,1
SHP0039,152,302.8,7363.4,35.81,3,50.31,Standard,5.17,0
