shipment_id,shipment_volume,distance_km,transport_cost,warehouse_load_pct,weather_risk,traffic_index,shipping_mode,delivery_days,on_time
SHP0001,62,862.12,5551.47,88.9,2,54.95,Second Class,5.46,0
SHP0002,391,1371.77,5668.39,73.62,0,36.7,First Class,3.18,1
SHP0003,334,1626.47,1345.46,50.92,0,23.69,Standard,5.65,0
SHP0004,230,1298.65,6287.83,83.47,3,57.01,First Class,5.97,0
SHP0005,227,1733.96,6121.54,40.49,3,85.18,Same Day,5.03,0
SHP0006,432,1408.7,6190.9,85.34,0,78.37,Second Class,4.74,1
SHP0007,61,1560.91,805.52,73.35,0,52.69,Standard,5.59,0
SHP0008,354,209.82,4104.52,42.2,2,67.58,Standard,4.7,1
SHP0009,116,1319.68,3769.96,40.17,0,54.9,Standard,5.91,0
SHP0010,65,794.96,917.4,83.8,2,66.32,Standard,5.8,0
SHP0011,272,997.82,2117.96,54.04,3,61.4,Standard,6.01,0
SHP0012,488,1179.11,4052.52,92.8,3,74.48,Standard,6.66,0
SHP0013,373,1745.82,6724.72,84.53,0,60.62,Same Day,2.3,1
SHP0014,385,1772.32,2248.0,80.38,0,95.25,Standard,6.69,0
SHP0015,364,522.37,7493.29,53.11,2,54.24,First Class,2.89,1
SHP0016,397,1322.09,4980.31,81.08,0,21.27,Same Day,2.57,1
SHP0017,266,1351.22,6879.73,96.63,2,38.91,First Class,3.56,1
SHP0018,81,626.95,4332.12,40.95,1,60.05,Standard,4.71,1
SHP0019,423,227.35,4567.87,56.2,2,63.25,Standard,5.6,0
SHP0020,236,78.5,5634.52,50.25,0,64.19,Standard,2.15,1
SHP0021,260,1400.33,8362.54,60.56,3,77.16,Standard,8.39,0
SHP0022,197,884.01,4502.54,83.25,2,41.97,Standard,5.14,0
SHP0023,107,1774.04,4828.62,65.83,0,73.19,First Class,4.33,1
SHP0024,464,839.63,5477.67,72.1,1,76.32,Standard,5.74,0
SHP0025,395,1760.36,6677.01,55.42,0,52.9,Standard,5.87,0
SHP0026,329,743.78,785.88,44.18,1,52.17,Standard,4.82,1
SHP0027,213,1429.66,4713.83,52.35,1,34.31,First Class,4.25,1
SHP0028,414,157.25,4412.09,90.88,0,53.12,First Class,2.43,1
SHP0029,281,1002.05,8306.91,74.16,2,82.95,Standard,7.39,0
SHP0030,232,1444.7,4517.53,59.57,2,92.72,First Class,5.6,0
SHP0031,236,1664.84,4294.64,86.34,0,67.49,Second Class,6.31,0
SHP0032,129,1481.54,8665.47,39.19,0,43.95,Second Class,4.69,1
SHP0033,64,71.36,4137.6,51.5,0,74.58,First Class,0.96,1
SHP0034,286,674.0,1750.83,49.96,2,79.21,Same Day,4.73,1
SHP0035,446,92.41,2069.71,99.05,1,46.58,Standard,3.72,1
SHP0036,50,201.16,992.41,80.9,0,86.12,Standard,5.25,0
SHP0037,431,1217.17,155.03,75.16,0,25.9,Standard,4.4,1
